TITLE,CUISINES,TIME,CITY,LOCALITY,RATING,VOTES,COST
23,1293,503,110,663,4.3,564,535.25
75,1632,933,96,221,4.2,61,535.25
23,1455,219,96,411,3.8,350,535.25
66,208,1071,41,456,3.8,1445,535.25
75,1637,208,78,300,3.6,23,535.25
54,920,697,55,77,3.7,36,535.25
23,1500,560,103,328,0.0,0,474.5
23,219,557,18,471,4.0,703,535.25
66,1301,242,108,252,3.4,475,535.25
23,1173,1182,78,562,3.2,6,535.25
44,737,225,9,182,3.8,166,535.25
75,1661,201,18,817,3.7,46,535.25
25,874,972,96,823,4.2,518,535.25
57,860,774,9,774,4.1,100,535.25
23,1236,63,55,21,4.1,105,535.25
23,134,637,9,377,3.8,64,535.25
75,493,845,96,155,4.1,137,535.25
66,795,256,41,456,3.8,639,535.25
75,1597,937,9,800,4.3,315,535.25
10,198,1056,78,377,3.4,16,535.25
23,1314,862,96,192,3.6,237,535.25
23,1459,480,18,52,0.0,0,474.5
31,964,844,144,169,3.8,136,535.25
75,1212,63,50,150,3.4,14,535.25
75,210,242,9,71,0.0,0,474.5
39,917,20,55,282,4.2,98,535.25
23,933,103,41,660,4.2,1356,535.25
23,642,257,9,67,0.0,0,474.5
23,279,1113,78,181,3.7,19,535.25
75,1212,515,96,74,0.0,0,474.5
75,1597,999,78,32,3.2,4,535.25
68,3,482,9,257,4.2,3913,535.25
23,1416,1059,96,413,4.0,327,535.25
23,1173,637,9,820,4.0,92,535.25
23,1052,865,78,193,3.0,12,535.25
15,332,5,55,191,3.7,234,535.25
23,89,1143,103,328,4.3,508,535.25
75,1029,770,78,175,0.0,0,474.5
0,138,480,96,73,4.0,85,872.0
25,106,561,9,409,4.0,386,535.25
23,1305,1013,96,161,3.8,408,535.25
15,302,221,108,455,4.1,102,535.25
75,238,128,18,333,3.5,83,535.25
23,218,277,18,51,3.6,382,535.25
68,627,505,9,645,4.0,1009,535.25
75,1046,1044,78,770,4.5,690,535.25
75,1597,1084,96,419,3.9,104,535.25
75,290,63,116,319,3.3,9,535.25
58,849,242,18,452,3.4,75,535.25
23,449,919,78,296,2.9,13,535.25
15,317,1084,55,397,3.4,95,535.25
75,521,1054,96,313,3.6,63,535.25
15,377,503,50,675,3.8,66,535.25
75,1522,1125,96,303,3.8,143,535.25
25,1187,503,55,511,4.3,802,535.25
5,151,242,9,377,3.2,5,535.25
75,1156,695,50,683,3.1,6,535.25
83,1119,737,55,432,3.3,66,535.25
39,922,242,18,57,3.8,102,535.25
85,1130,242,9,67,3.6,223,535.25
75,986,201,108,27,4.1,257,535.25
23,1473,287,18,599,3.7,96,535.25
23,1597,793,55,722,3.8,467,535.25
10,185,262,55,379,3.7,142,535.25
23,1212,115,96,302,3.8,259,535.25
66,1173,1108,108,727,3.9,174,535.25
75,1597,49,78,566,0.0,0,474.5
25,1093,892,78,181,3.5,11,535.25
25,1138,464,35,802,0.0,0,474.5
75,1597,920,40,6,3.7,58,535.25
75,823,843,96,302,3.7,75,535.25
13,185,480,108,354,4.0,150,535.25
15,302,208,108,110,4.0,214,535.25
75,1047,1182,78,755,0.0,0,474.5
10,186,68,136,788,4.0,199,535.25
23,909,1,46,258,3.9,577,536.5
75,1212,217,50,732,0.0,0,474.5
75,967,503,96,209,4.5,47,535.25
75,787,242,28,54,2.5,143,535.25
23,264,260,9,80,4.0,752,535.25
23,1380,256,103,328,3.9,42,535.25
23,1212,875,96,574,3.7,494,535.25
23,1649,931,96,140,3.7,212,535.25
23,93,601,96,192,4.5,3075,535.25
22,431,914,78,300,3.4,11,535.25
75,709,262,9,546,3.5,44,535.25
23,1161,1085,108,269,4.0,6464,535.25
23,564,603,18,178,4.0,741,535.25
75,1173,317,50,541,3.7,110,535.25
75,498,616,96,358,3.6,55,535.25
75,16,644,96,45,3.9,49,535.25
23,1212,503,135,753,4.3,69,535.25
75,1173,767,133,698,4.0,3340,535.25
